用户名,帖子内容,留言用户名,留言时间,留言内容
['中国青年报'],['#鸟巢全场为盲人主火炬手加油#【最终环节，#盲人运动员点燃主火炬#】这是往届残奥会上从没有过的大胆尝试。承担这一使命的是退役盲人运动员李端。他曾是职业篮球运动员，一次过期灭火器爆炸导致他双目失明，右手食指第一节缺失。在2008年的鸟巢，他获得了男子三级跳远F11级的冠军，并打破世界纪录。李端两周前才得到参加开幕式的通知。李端点燃火炬的时候遇到了一些困难，全场为他加油。他感觉主火炬比别的火炬沉，有十来斤，“我看不见火炬，但是我要把最后一棒火炬插好、点燃，让更多的人看见我们，看见我们残疾人自强不息，努力向上的这种精神。”李端说（中青报·中青网记者 杨杰 马子倩） 中国青年报的微博视频'],['马普尔摩斯'],['22-3-4 21:54'],['眼里只有黑暗，手里握着光明。']
['中国青年报'],['#鸟巢全场为盲人主火炬手加油#【最终环节，#盲人运动员点燃主火炬#】这是往届残奥会上从没有过的大胆尝试。承担这一使命的是退役盲人运动员李端。他曾是职业篮球运动员，一次过期灭火器爆炸导致他双目失明，右手食指第一节缺失。在2008年的鸟巢，他获得了男子三级跳远F11级的冠军，并打破世界纪录。李端两周前才得到参加开幕式的通知。李端点燃火炬的时候遇到了一些困难，全场为他加油。他感觉主火炬比别的火炬沉，有十来斤，“我看不见火炬，但是我要把最后一棒火炬插好、点燃，让更多的人看见我们，看见我们残疾人自强不息，努力向上的这种精神。”李端说（中青报·中青网记者 杨杰 马子倩） 中国青年报的微博视频'],['宇后朝阳_Neo'],['22-3-4 21:54'],['在部队时候曾是王治郅的队友']
['中国青年报'],['#鸟巢全场为盲人主火炬手加油#【最终环节，#盲人运动员点燃主火炬#】这是往届残奥会上从没有过的大胆尝试。承担这一使命的是退役盲人运动员李端。他曾是职业篮球运动员，一次过期灭火器爆炸导致他双目失明，右手食指第一节缺失。在2008年的鸟巢，他获得了男子三级跳远F11级的冠军，并打破世界纪录。李端两周前才得到参加开幕式的通知。李端点燃火炬的时候遇到了一些困难，全场为他加油。他感觉主火炬比别的火炬沉，有十来斤，“我看不见火炬，但是我要把最后一棒火炬插好、点燃，让更多的人看见我们，看见我们残疾人自强不息，努力向上的这种精神。”李端说（中青报·中青网记者 杨杰 马子倩） 中国青年报的微博视频'],['御弟锅锅的蝎子精'],['22-3-4 21:43'],['加油！！！']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['请你吃辣锅-'],['22-3-4 22:35'],['破防时刻']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['love--锦婷'],['22-3-4 22:32'],['这束微光照亮了整个星空雪容融']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['烂摊子里拾荒'],['22-3-4 22:58'],['他的摸索正象征着中国数十年来的发展，我们摸着石头过河，寻找复兴的正确方向，也许曾经我们会听到嘲讽与讥笑，但我们现在能听到的是“加油”和掌声，因为坚毅勇敢所以越来越强大！ :China::China::China:雪容融冰墩墩 ']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['你的派大西啊'],['22-3-4 22:30'],['体育就是体育:China:']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['TailandPepper'],['22-3-4 23:41'],['看的好紧张！但是他站在那里才更手足无措慌乱吧！！！勇敢拼搏，认真生活的残疾运动员们都是超级英雄！']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['是人间小好'],['22-3-4 22:34'],['“也许我的世界是黑暗的，但我愿意尽我所能一直照亮你们的世界。”']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['披荆斩棘268'],['22-3-4 22:32'],['最后一棒看哭了！']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['朴朴孟_'],['22-3-5 09:54'],['用微光照亮世界']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['不喝酒的爱喝酒'],['22-3-5 09:15'],['期待中国:China:健儿夺冠拿金牌。']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['星空_StarryNight'],['22-3-5 00:27'],['点燃一束光，即使身处黑暗']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['时弼'],['22-3-4 23:16'],['雪容融']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['粉红宝蓝2016'],['22-3-5 07:04'],['很棒！也为引导员点赞:thumbs_up:']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['MrZ_SONG'],['22-3-5 00:06'],[':China::China:']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['徐憨憨与瓜瓜猪'],['22-3-4 23:11'],['你就是奥运精神的最好展现']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['楠木明秋'],['22-3-4 23:10'],['哇塞！！！']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['李纵行Josin'],['22-3-4 22:48'],['祝福北京冬残奥会圆满成功#北京冬残奥会开幕式# 加油雪容融雪容融雪容融花灯花灯花灯']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['CrapemyrtleLindy'],['22-3-4 22:36'],['残奥会加油:China:']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['闪耀星lin'],['22-3-4 22:33'],['残奥会加油！']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['依子宸'],['22-3-4 22:33'],['为啥不是王海涛？？？']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['中国盲文图书馆'],['22-3-4 22:32'],['@中国盲文图书馆: 希望能从更多方面关注到盲人，他们也叫“视障人群”']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['有胳膊有腿'],['22-3-4 22:30'],['不屈的灵魂']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['非著名DDL战神'],['22-3-4 22:30'],['真的真的这个节目看的我很紧张 最后成功的那一刹那真的真的松了一口气 拆那最棒！']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['居老师家的泠落'],['22-3-4 22:30'],['加油']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['6ceng-潇潇'],['22-3-4 22:29'],['这一幕让人动容']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['vore契'],['22-3-4 22:57'],['很棒！']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['所谓宋朝'],['22-3-4 22:35'],['一个疑问：各国入场顺序按汉字笔画顺序，可是“意”大利却排在了“德”国后面，是否弄错了？什么原因呢？']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['画圈圈的小怪兽'],['22-3-5 07:16'],['小的时候有一次发烧，头疼到不行，外婆坐在我床边，给我念《钢铁是怎样炼成的》。我通过这位来自乌克兰的共产主义战士的文字，认识了第一个残疾的身体中包裹的不屈的灵魂。到了现在，卧床的变成了外婆，乌克兰也没了共产主义战士，只有残奥会的召开，才提醒了我人类中间有些东西是永远不会消失的。']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['燕破岳家的米妹'],['22-3-5 03:55'],['加油！']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['BARBAK90'],['22-3-5 02:30'],['感人']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['等待手持向日葵的你'],['22-3-4 23:28'],['火炬嵌入雪花火炬台，微火留在所有人心中！这世界气象万千，这微火温暖人心！  光明永续，希望长存，微火不微！在这一刻，从这一刻，我们一起守护这心中的一捧微火，一起守护这触手可及的一片光明！']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['若曦Jonlina'],['22-3-4 22:53'],['#北京2022年冬残奥会# #北京冬残奥会今晚开幕# 二月二龙抬头，东残奥会加油']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['moonsmooth'],['22-3-4 22:40'],['这一幕真的很感动！雪容融']
['北京2022年冬奥会'],['点燃一束微光\\n\\n在#北京2022年冬残奥会# 开幕式上，前残奥会冠军、盲人田径运动员李端作为最后一棒火炬手，点燃了“雪花”中央的主火炬。今天，你让所有人都看见了这束光！#盲人火炬手说让世界看见我们# （图/盖蒂图片社） '],['追啵气氛组'],['22-3-4 22:39'],['有点紧张，有点担心，但我坚信中国人绝对可以完成，这种信念感太棒了']
['中国日报'],['#北京冬残奥来了#【#盲人主火炬手讲述幕后排练细节# #盲人点燃主火炬是如何做到的#】3月4日晚，视障运动员李端点燃冬残奥主火炬的一幕感动了无数人，现场观众响起了热烈的掌声和加油声。记者@杨艺ChinaDaily 在此前采访李端时，他说：“我虽然看不见火炬的光亮，但我能感受到它的温暖，我很有信心和决心。”导演沈晨说：“当他点燃火炬的一瞬间，大家会感受到他是用内心点亮了整个天地。”一起看更多幕后的感人细节。杨艺ChinaDaily的微博视频'],['草莽晓东'],['22-3-5 19:04'],['加油！']
['中国日报'],['#北京冬残奥来了#【#盲人主火炬手讲述幕后排练细节# #盲人点燃主火炬是如何做到的#】3月4日晚，视障运动员李端点燃冬残奥主火炬的一幕感动了无数人，现场观众响起了热烈的掌声和加油声。记者@杨艺ChinaDaily 在此前采访李端时，他说：“我虽然看不见火炬的光亮，但我能感受到它的温暖，我很有信心和决心。”导演沈晨说：“当他点燃火炬的一瞬间，大家会感受到他是用内心点亮了整个天地。”一起看更多幕后的感人细节。杨艺ChinaDaily的微博视频'],['wabldm'],['22-3-5 18:48'],['真的很棒！']
['中国日报'],['#北京冬残奥来了#【#盲人主火炬手讲述幕后排练细节# #盲人点燃主火炬是如何做到的#】3月4日晚，视障运动员李端点燃冬残奥主火炬的一幕感动了无数人，现场观众响起了热烈的掌声和加油声。记者@杨艺ChinaDaily 在此前采访李端时，他说：“我虽然看不见火炬的光亮，但我能感受到它的温暖，我很有信心和决心。”导演沈晨说：“当他点燃火炬的一瞬间，大家会感受到他是用内心点亮了整个天地。”一起看更多幕后的感人细节。杨艺ChinaDaily的微博视频'],['徽头'],['22-3-5 18:08'],['2008年现场看了他的比赛，老了好多']
['官方魅力石屏'],['【#08和22残奥两位主火炬手首次同框#】北京2022年冬残奥会开幕式上，盲人运动员李端摸索着点燃主火炬。他虽看不见光，但却点亮了夜空。#李端插入主火炬后大喊一声成功#！在北京2008年残奥会上，侯斌攀爬40米绳索点燃主火炬，也让人记忆犹新。两次“点火”，同样让人震撼、感动。杨扬约了李端、侯斌一起聊天，戳视频，听他们讲述自己的故事↓  （新华社）新华社的微博视频'],['任性小主abc'],['22-3-8 14:50'],[':palm_tree:']
['江苏政法'],['【#新华网三句话评残奥运动员挑战自我#】1 、世界的目光再次聚焦北京，开幕式上，盲人运动员点燃主火炬的瞬间让人泪目；赛场上，来自世界各地的残奥运动员奋力拼搏的样子让人震撼。\\n2、那些热烈和不屈，那些生命的张力，直抵人心，教会你我更加勇敢地迎接挑战，也激励着更多残疾人更加乐观地面对生活，更加积极地追求梦想。\\n3、那些勇气、决心、毅力和汗水告诉世人，身体的残缺，不会削减生命的意义！@新华网'],['鹤城网警巡查执法'],['22-3-8 09:35'],['关注冰墩墩']
['江苏政法'],['【#新华网三句话评残奥运动员挑战自我#】1 、世界的目光再次聚焦北京，开幕式上，盲人运动员点燃主火炬的瞬间让人泪目；赛场上，来自世界各地的残奥运动员奋力拼搏的样子让人震撼。\\n2、那些热烈和不屈，那些生命的张力，直抵人心，教会你我更加勇敢地迎接挑战，也激励着更多残疾人更加乐观地面对生活，更加积极地追求梦想。\\n3、那些勇气、决心、毅力和汗水告诉世人，身体的残缺，不会削减生命的意义！@新华网'],['连云港市连云区法院'],['22-3-8 12:44'],['【#新华网三句话评残奥运动员挑战自我#】']
['江苏政法'],['【#新华网三句话评残奥运动员挑战自我#】1 、世界的目光再次聚焦北京，开幕式上，盲人运动员点燃主火炬的瞬间让人泪目；赛场上，来自世界各地的残奥运动员奋力拼搏的样子让人震撼。\\n2、那些热烈和不屈，那些生命的张力，直抵人心，教会你我更加勇敢地迎接挑战，也激励着更多残疾人更加乐观地面对生活，更加积极地追求梦想。\\n3、那些勇气、决心、毅力和汗水告诉世人，身体的残缺，不会削减生命的意义！@新华网'],['泰州兴化法院'],['22-3-8 09:09'],['【#新华网三句话评残奥运动员挑战自我#】']
['新华网'],['#新华网三句话评残奥运动员挑战自我#\\n1、世界的目光再次聚焦北京，开幕式上，盲人运动员点燃主火炬的瞬间让人泪目；赛场上，来自世界各地的残奥运动员奋力拼搏的样子让人震撼。\\n2、那些热烈和不屈，那些生命的张力，直抵人心，教会你我更加勇敢地迎接挑战，也激励着更多残疾人更加乐观地面对生活，更加积极地追求梦想。\\n3、那些勇气、决心、毅力和汗水告诉世人，身体的残缺，不会削减生命的意义！'],['新华网财经'],['22-3-7 14:03'],['#新华网三句话评残奥运动员挑战自我#']
